10_34-25_617-136         	51F17812                 
11._44-17_219-91         	18-F1                    
11._13-98_245-178        	0125L                    
2._26-8_121-51           	MRKU                     
2._25-53_94-93           	680                      
2._117-53_208-99         	4329                     
2._26-97_114-138         	22G1                     
3._61-35_174-86          	PONU                     
3._203-37_372-92         	816115                   
3._377-45_434-89         	37                       
3._202-118_310-167       	45G1                     
4._29-1_107-37           	MRKU                     
4._28-38_84-72           	698                      
4._104-39_179-76         	224g                     
4._29-73_86-106          	22G                      
4._88-78_100-102         	I                        
5._18-28_82-60           	ZMOU                     
5._88-30_178-62          	882361                   
5._189-33_208-62         	2                        
5._88-82_148-113         	45R1                     
6._24-10_101-44          	MRKU                     
6._25-46_81-80           	502                      
6._100-47_174-83         	3208                     
6._22-84_94-116          	45G1                     
7._46-34_120-68          	ZIMOU                    
7._126-36_222-69         	883674                   
7._232-40_249-69         	9                        
7._45-89_108-121         	45R1                     
8._46-54_142-96          	ZCSU                     
8._161-55_295-102        	875368                   
8._318-65_341-101        	a                        
8._160-102_248-148       	L5G1                     
8_157-46_473-126         	511559                   
8_529-97_574-106         	10K1020z0                
8_147-145_572-290        	20-20                    
8_45-189_108-260         	X                        
9_8-12_24-26             	Q                        
9_38-12_98-26            	123-456                  
math_342-4_532-32        	KL(q(z1|x)|p(z1))        
math_12-4_62-36          	LVAER                    
math_62-6_95-31          	(x)                      
math_132-4_199-39        	Eq(z|x)                  
math_202-5_318-31        	[logp(x|z)]              
math_97-12_126-23        	:=                       
math_322-12_337-24       	CARATICALLIZE            
temptations-coffee-shop_330-70_437-97	COFFEE                   
temptations-coffee-shop_457-70_518-97	HOP                      
temptations-coffee-shop_100-84_298-122	TEMPTATIONS              
temptations-coffee-shop_172-110_208-124	Heart                    
temptations-coffee-shop_114-112_149-125	From                     
temptations-coffee-shop_150-112_170-124	the                      
temptations-coffee-shop_329-110_420-136	CARDS                    
temptations-coffee-shop_457-110_520-136	SIFTS                    
temptations-coffee-shop_424-112_445-134	8                        
temptations-coffee-shop_76-182_105-192	coffee                   
temptations-coffee-shop_105-182_128-192	shop                     
temptations-coffee-shop_462-182_478-192	GIFT                     
temptations-coffee-shop_480-182_502-192	shop                     
temptations-coffee-shop_76-200_93-205	low                      
temptations-coffee-shop_86-206_109-212	were                     
temptations-coffee-shop_86-213_97-218	the                      
